;program;IDENTIFICADOR;punto_y_coma;var;dos_puntos;real;string;begin;end;punto;operador_asignacion;read;write;constCadena;parentesis_abre;parentesis_cierra;if;then;endif;else;while;do;endwhile;not;menor;mayor;igual;distinto;igual_simple;and;or;constReal;raiz;longitud;subcadena;buscar;coma;concatenar;mas;menos;producto;division;potencia;$
<programa >;program,IDENTIFICADOR,punto_y_coma,<seccion_decl>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<seccion_decl>;;;;var,<lista_decls>;;;epsilon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<lista_decls>;;<decl>,<lista_decls_Prim>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<lista_decls_Prim>;;<decl>,<lista_decls_Prim>;;;;;epsilon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<decl>;;<lista_ids> ,dos_puntos, <tipo>, punto_y_coma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<lista_ids>;;IDENTIFICADOR,<lista_ids_prim>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<lista_ids_prim>;;;punto_y_coma,IDENTIFICADOR,<lista_ids_prim>;;epsilon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<tipo>;;;;;;real;string;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<cuerpo>;;;;;;;;begin,<lista_sentencias>,end,punto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<lista_sentencias>;;<sentencia>,<lista_sentencias>;;;;;;;epsilon;;;<sentencia>,<lista_sentencias>;<sentencia>,<lista_sentencias>;;;;<sentencia>,<lista_sentencias>;;epsilon;epsilon;<sentencia>,<lista_sentencias>;;epsilon;;;;;;;;;;;;;;;;;;;;;
<sentencia>;;<asignacion>;;;;;;;;;;<lectura>;<escritura>;;;;<si_entonces>;;;;<mientras>;;;;;;;;;;;;;;;;;;;;;;;
<asignacion>;;IDENTIFICADOR,operador_asignacion,<expresion> ,punto_y_coma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<lectura>;;;;;;;;;;;;read,parentesis_abre,constCadena,coma,IDENTIFICADOR,parentesis_cierra,punto_y_coma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<escritura>;;;;;;;;;;;;;write,parentesis_abre,<lista_escritura>,parentesis_cierra,punto_y_coma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<lista_escritura>;;<elem_escritura>,<lista_escritura_prim>;;;;;;;;;;;;<elem_escritura>,<lista_escritura_prim>;<elem_escritura>,<lista_escritura_prim>;;;;;;;;;;;;;;;;;<elem_escritura>,<lista_escritura_prim>;<elem_escritura>,<lista_escritura_prim>;;;;;;;;;;;
